gene_name,entrezgene_id,padj,Log2FC,absLogFC
CCNH,902,0.001016792,0.137501641,0.137501641
VPS16,64601,2.7e-06,0.137534039,0.137534039
GEMIN2,8487,0.007778197,0.137623695,0.137623695
SNORD71,692111,0.070469839,-0.137629738,0.137629738
ZNF175,7728,0.00115233,-0.137643128,0.137643128
TESC,54997,0.441075607,0.137686881,0.137686881
MRPS21,54460,0.009627857,0.13774239,0.13774239
GCC1,79571,0.000441952,0.137752639,0.137752639
CSGALNACT1,55790,0.125223578,0.137788447,0.137788447
C12orf29,91298,0.001583926,0.137857364,0.137857364
CPQ,10404,0.025618169,-0.137906912,0.137906912
GFRA1,2674,0.539224454,-0.137938395,0.137938395
TRAP1,10131,0.023211473,0.137976364,0.137976364
CCT6P3,643180,0.023015955,-0.137991466,0.137991466
PAPOLA,10914,0.000229287,-0.137991545,0.137991545
DEDD,9191,2.11e-05,0.137993846,0.137993846
PSMD12,5718,0.000472552,0.138030073,0.138030073
DEPDC5,9681,5.32e-05,-0.138074901,0.138074901
CYP3A5,1577,0.413780163,0.138081429,0.138081429
LINC02060,102546226,0.364737745,0.13808603,0.13808603
AKAP8L,26993,8.98e-05,-0.138119209,0.138119209
GTF2F1,2962,0.000400602,0.138162743,0.138162743
NCOA5,57727,1.36e-05,0.138177897,0.138177897
COL4A2-AS1,100874203,0.229834009,-0.138255637,0.138255637
DEUP1,159989,0.24937062,0.138269699,0.138269699
CYB561,1534,0.047610595,-0.138277809,0.138277809
SNRNP40,9410,8.41e-05,0.138280972,0.138280972
MINK1,50488,0.00156992,-0.138310587,0.138310587
LINC01352,101929730,0.264611237,0.138356452,0.138356452
UNK,85451,0.000301227,0.13835839,0.13835839
NRGN,4900,0.203944876,-0.138363848,0.138363848
RMND1,55005,0.064028544,-0.13839662,0.13839662
MSH5,4439,0.042740053,-0.138409417,0.138409417
VNN1,8876,0.598119788,-0.138460105,0.138460105
GJA5,2702,0.295936289,-0.13847823,0.13847823
NCOA4,8031,0.008078178,0.138520652,0.138520652
INIP,58493,0.000456781,-0.138566903,0.138566903
AEBP2,121536,0.00024624,-0.13862709,0.13862709
CCDC125,202243,0.020715288,0.138832285,0.138832285
SLC10A3,8273,0.00385241,0.138925938,0.138925938
TMEM220,388335,0.109884902,-0.138951418,0.138951418
SAMD4A,23034,0.177421851,0.138959375,0.138959375
SELENOP,6414,0.139618842,0.13896705,0.13896705
SNORD101,594837,0.143179956,-0.13904503,0.13904503
FAM50B,26240,0.177502245,-0.139115921,0.139115921
DHH,50846,0.341499271,0.13911657,0.13911657
PYGO2,90780,0.000101213,-0.13923098,0.13923098
AKT1S1,84335,0.004822138,0.139282547,0.139282547
CDC25A,993,0.200949687,-0.139315145,0.139315145
